memberId,amount,merchant,date
8,8405,GS25,2025-08-23
9,6511,정약국,2025-07-01
10,8889,세븐일레븐,2025-07-22
1,29298,코스트코,2025-07-20
2,10470,(주)에이비카페,2025-08-29
3,11824,메가커피,2025-08-02
4,21684,이마트,2025-06-08
5,10620,(주)에이비카페,2025-07-11
6,10472,세븐일레븐,2025-08-07
7,31851,이마트,2025-06-24
8,2261,세븐일레븐,2025-07-01
9,16574,롯데시네마,2025-06-06
10,50462,코스트코,2025-08-12
1,4648,GS25,2025-08-31
2,8002,(주)에이비카페,2025-08-25
3,21292,CGV,2025-06-10
4,157617,롯데월드,2025-06-13
5,4502,세븐일레븐,2025-06-17
6,742005,은혜공인중개사무소,2025-07-18
7,12671,(주)에이비카페,2025-08-30
8,31855,이마트,2025-08-10
9,13394,롯데시네마,2025-06-18
10,13178,이마트,2025-06-20
1,9646,세븐일레븐,2025-07-14
2,14140,롯데리아,2025-08-04
3,8087,CGV,2025-07-25
4,5164,정약국,2025-06-17
5,64272,오렌지주유소,2025-07-27
6,49198,코스트코,2025-06-15
7,14311,세븐일레븐,2025-08-09
8,7281,세븐일레븐,2025-06-19
9,8651,롯데시네마,2025-06-06
10,1009060,은혜공인중개사무소,2025-08-25
1,14111,세븐일레븐,2025-07-23
2,5303,메가커피,2025-07-01
3,7952,(주)에이비카페,2025-06-04
4,29793,이마트,2025-07-23
5,65761,오렌지주유소,2025-08-29
6,8618,이마트,2025-06-29
7,18875,카카오프렌즈,2025-06-30
8,16938,이마트,2025-07-06
9,8062,(주)에이비카페,2025-08-05
10,37429,이마트,2025-06-04
1,4600,세븐일레븐,2025-07-04
2,10491,세븐일레븐,2025-07-11
3,20951,롯데시네마,2025-08-13
4,8568,이마트,2025-06-01
5,73975,코스트코,2025-08-25
6,113046,세인트존스호텔,2025-08-25
7,7609,메가커피,2025-06-16
8,17890,CGV,2025-08-25
9,22856,롯데시네마,2025-08-10
10,8408,세븐일레븐,2025-07-19
1,4028,GS25,2025-07-09
2,3691,(주)에이비카페,2025-06-27
3,18299,롯데시네마,2025-07-27
4,24484,CGV,2025-06-22
5,77673,오렌지주유소,2025-08-21
6,6831,런던베이글,2025-07-01
7,7499,더벤티,2025-06-19
8,5981,세븐일레븐,2025-08-18
9,5100,(주)에이비카페,2025-08-20
10,72345,코스트코,2025-08-03
1,15586,이마트,2025-06-01
2,4163,메가커피,2025-06-29
3,38391,이마트,2025-08-11
4,60736,톡스앤필의원,2025-07-30
5,117583,오렌지주유소,2025-07-27
6,11910,(주)에이비카페,2025-08-10
7,7250,(주)에이비카페,2025-07-31
8,5736,GS25,2025-07-06
9,12462,(주)에이비카페,2025-07-01
10,10937,이마트,2025-07-01
1,7218,세븐일레븐,2025-06-11
2,10082,맥도날드,2025-06-20
3,9759,CGV,2025-07-13
4,114655,톡스앤필의원,2025-07-24
5,72818,코스트코,2025-08-29
6,119453,롯데월드,2025-06-01
7,7590,메가커피,2025-07-24
8,15154,롯데시네마,2025-07-05
9,8553,롯데시네마,2025-08-25
10,11576,(주)에이비카페,2025-07-30
1,14388,(주)에이비카페,2025-07-21
2,2870,더벤티,2025-07-25
3,30768,이마트,2025-07-04
4,83935,톡스앤필의원,2025-07-14
5,81736,오렌지주유소,2025-07-24
6,2313,GS25,2025-08-09
7,5990,세븐일레븐,2025-06-09
8,51180,코스트코,2025-06-04
9,10825,런던베이글,2025-08-19
10,3035,세븐일레븐,2025-06-15
1,4507,GS25,2025-07-03
2,11204,쿰베오,2025-08-31
3,12483,세븐일레븐,2025-07-10
4,7828,이마트,2025-08-13
5,85504,오렌지주유소,2025-08-31
6,94022,세인트존스호텔,2025-07-09
7,13283,메가커피,2025-08-12
8,43313,코스트코,2025-08-24
9,26029,롯데시네마,2025-06-02
10,87801,오렌지주유소,2025-07-17
1,9239,GS25,2025-07-26
2,12511,롯데리아,2025-07-05
3,23507,CGV,2025-08-15
4,106837,톡스앤필의원,2025-06-12
5,31003,이마트,2025-07-30
6,60702,코스트코,2025-06-04
7,11912,런던베이글,2025-06-28
8,4897,GS25,2025-08-16
9,17432,CGV,2025-08-06
10,6997,정약국,2025-07-23
1,22330,이마트,2025-08-22
2,11553,더벤티,2025-06-12
3,22881,롯데시네마,2025-07-10
4,19877,CGV,2025-08-07
5,70273,코스트코,2025-07-16
6,1945,강동도서관,2025-06-30
7,16320,이마트,2025-08-08
8,6165,(주)에이비카페,2025-08-01
9,20592,롯데시네마,2025-06-25
10,24976,이마트,2025-06-02
1,2795,GS25,2025-06-07
2,7530,런던베이글,2025-08-02
3,1235,세븐일레븐,2025-07-31
4,104250,톡스앤필의원,2025-06-07
5,30703,이마트,2025-06-09
6,7655,카카오프렌즈,2025-08-27
7,3872,세븐일레븐,2025-07-09
8,4292,세븐일레븐,2025-07-24
9,17092,CGV,2025-07-19
10,17925,카카오프렌즈,2025-08-15
1,15417,정약국,2025-06-08
2,5453,더벤티,2025-06-27
3,17740,CGV,2025-06-21
4,145006,톡스앤필의원,2025-06-01
5,67623,코스트코,2025-07-08
6,95027,롯데월드,2025-08-29
7,3403,메가커피,2025-07-04
8,63152,코스트코,2025-06-26
9,16273,롯데시네마,2025-07-05
10,40664,오렌지주유소,2025-07-10
1,12064,GS25,2025-07-27
2,13999,맥도날드,2025-07-05
3,23578,CGV,2025-08-16
4,8835,세븐일레븐,2025-08-17
5,9793,이마트,2025-08-26
6,18031,쿰베오,2025-06-03
7,30504,정약국,2025-08-13
8,11650,세븐일레븐,2025-08-06
9,14933,CGV,2025-08-14
10,10755,GS25,2025-07-31
1,24921,이마트,2025-06-14
2,7141,메가커피,2025-08-03
3,23771,롯데시네마,2025-08-10
4,2260,세븐일레븐,2025-07-12
5,36084,이마트,2025-06-01
6,20462,런던베이글,2025-06-07
7,130961,톡스앤필의원,2025-08-03
8,8541,롯데시네마,2025-08-10
9,12130,맥도날드,2025-08-29
10,26034,코스트코,2025-08-17
1,12190,롯데시네마,2025-06-02
2,5387,런던베이글,2025-06-15
3,12549,롯데시네마,2025-06-20
4,106886,톡스앤필의원,2025-07-05
5,61537,코스트코,2025-07-02
6,12145,롯데시네마,2025-08-16
7,8561,런던베이글,2025-07-06
8,20212,CGV,2025-08-04
9,7381,롯데시네마,2025-07-09
10,139162,오렌지주유소,2025-08-02
1,50024,코스트코,2025-07-15
2,12269,(주)에이비카페,2025-07-12
3,8139,(주)에이비카페,2025-06-30
4,15090,정약국,2025-07-31
5,85868,오렌지주유소,2025-08-24
6,5481,더벤티,2025-06-05
7,40742,이마트,2025-06-13
8,9417,(주)에이비카페,2025-07-29
9,66413,롯데월드,2025-08-23
10,7360,정약국,2025-07-04
1,32909,이마트,2025-07-13
2,10226,메가커피,2025-07-11
3,27562,CGV,2025-06-05
4,96345,톡스앤필의원,2025-07-07
5,24641,정약국,2025-06-13
6,51975,오렌지주유소,2025-08-28
7,3661,(주)에이비카페,2025-06-08
8,28745,이마트,2025-07-02
9,12065,CGV,2025-06-11
10,47228,코스트코,2025-07-01
1,37047,이마트,2025-07-30
2,9498,더벤티,2025-06-02
3,13487,(주)에이비카페,2025-08-26
4,48211,톡스앤필의원,2025-07-15
5,7284,메가커피,2025-07-25
6,3267,강동도서관,2025-06-26
7,17555,정약국,2025-07-19
8,21182,롯데시네마,2025-07-08
9,130595,롯데월드,2025-06-02
10,72173,코스트코,2025-06-07
1,68744,코스트코,2025-07-07
2,12274,쿰베오,2025-07-16
3,14918,롯데시네마,2025-08-26
4,20160,쿰베오,2025-06-18
5,41715,오렌지주유소,2025-07-27
6,106915,롯데월드,2025-06-12
7,8079,메가커피,2025-06-23
8,46426,이마트,2025-07-17
9,19167,CGV,2025-07-03
10,24675,정약국,2025-07-08
1,7345,GS25,2025-07-30
2,4743,메가커피,2025-06-29
3,12475,(주)에이비카페,2025-08-11
4,107490,톡스앤필의원,2025-08-08
5,31170,이마트,2025-08-26
6,8175,GS25,2025-07-18
7,20091,이마트,2025-08-19
8,12290,(주)에이비카페,2025-08-18
9,93066,세인트존스호텔,2025-07-30
10,15791,정약국,2025-06-15
1,1483,세븐일레븐,2025-08-03
2,12349,맥도날드,2025-06-18
3,21531,롯데시네마,2025-08-29
4,19387,정약국,2025-06-20
5,60049,오렌지주유소,2025-08-18
6,11518,카카오프렌즈,2025-07-18
7,13318,(주)에이비카페,2025-07-17
8,11584,세븐일레븐,2025-08-22
9,19159,롯데시네마,2025-06-16
10,16649,정약국,2025-06-28
1,12814,GS25,2025-06-07
2,14334,쿰베오,2025-08-12
3,20447,카카오프렌즈,2025-06-28
4,11767,정약국,2025-06-19
5,94626,오렌지주유소,2025-06-19
6,20436,정약국,2025-06-23
7,5703,이마트,2025-07-16
8,36858,코스트코,2025-06-03
9,4012,맥도날드,2025-07-24
10,56844,코스트코,2025-07-28
1,9760,GS25,2025-07-28
2,18925,런던베이글,2025-08-24
3,24328,CGV,2025-06-04
4,10076,세븐일레븐,2025-07-25
5,113117,오렌지주유소,2025-07-27
6,2157,세븐일레븐,2025-06-19
7,5778,세븐일레븐,2025-08-14
8,17766,롯데시네마,2025-08-16
9,22917,CGV,2025-07-26
10,10569,세븐일레븐,2025-08-23
1,10919,GS25,2025-06-28
2,7476,(주)에이비카페,2025-07-29
3,10281,롯데시네마,2025-07-11
4,23941,CGV,2025-08-27
5,40819,오렌지주유소,2025-06-11
6,2834,세븐일레븐,2025-07-18
7,9158,메가커피,2025-08-11
8,11576,롯데시네마,2025-08-25
9,19340,런던베이글,2025-06-07
10,22822,정약국,2025-06-14
1,3865,GS25,2025-08-01
2,3546,롯데리아,2025-08-11
3,17635,롯데시네마,2025-07-25
4,26524,정약국,2025-08-22
5,16375,(주)에이비카페,2025-08-28
6,3596,GS25,2025-07-10
7,6219,메가커피,2025-06-19
8,17493,롯데시네마,2025-08-21
9,1510,강동도서관,2025-06-28
10,32519,이마트,2025-07-18
1,7013,세븐일레븐,2025-08-12
2,3329,더벤티,2025-08-19
3,55160,롯데월드,2025-08-24
4,184756,톡스앤필의원,2025-07-05
5,32617,이마트,2025-07-26
6,43636,이마트,2025-08-25
7,7293,(주)에이비카페,2025-08-16
8,4003,세븐일레븐,2025-06-28
9,7496,(주)에이비카페,2025-06-16
10,12871,세븐일레븐,2025-06-17
1,20082,이마트,2025-08-25
2,8802,쿰베오,2025-06-06
3,26950,롯데시네마,2025-07-11
4,173419,톡스앤필의원,2025-08-21
5,26501,코스트코,2025-07-12
6,20476,맥도날드,2025-07-17
7,12497,세븐일레븐,2025-07-26
8,10136,롯데시네마,2025-07-10
9,7120,(주)에이비카페,2025-06-22
10,9617,세븐일레븐,2025-08-05
1,12890,세븐일레븐,2025-08-22
2,4938,메가커피,2025-07-03
3,10220,롯데리아,2025-08-23
4,14361,세븐일레븐,2025-07-30
5,113582,오렌지주유소,2025-08-12
6,21804,런던베이글,2025-08-20
7,9270,(주)에이비카페,2025-07-27
8,17621,롯데시네마,2025-07-16
9,17892,CGV,2025-06-05
10,13380,세븐일레븐,2025-08-22
1,63588,코스트코,2025-08-16
2,18745,런던베이글,2025-06-06
3,13156,롯데시네마,2025-07-31
4,45304,톡스앤필의원,2025-07-14
5,9398,쿰베오,2025-06-23
6,139195,롯데월드,2025-07-27
7,19844,런던베이글,2025-07-18
8,9969,(주)에이비카페,2025-07-14
9,10838,CGV,2025-08-22
10,22290,이마트,2025-08-26
1,23439,이마트,2025-08-24
2,13646,메가커피,2025-07-13
3,10169,세븐일레븐,2025-07-15
4,113046,톡스앤필의원,2025-08-30
5,82476,오렌지주유소,2025-08-22
6,5439,더벤티,2025-08-27
7,3737,메가커피,2025-07-25
8,8124,롯데시네마,2025-06-24
9,16739,런던베이글,2025-08-02
10,12080,이마트,2025-07-08
1,26709,코스트코,2025-08-09
2,8661,메가커피,2025-07-14
3,12040,(주)에이비카페,2025-07-19
4,19084,이마트,2025-08-19
5,67155,오렌지주유소,2025-06-06
6,15184,카카오프렌즈,2025-08-18
7,10146,(주)에이비카페,2025-07-01
8,41511,이마트,2025-06-25
9,22093,롯데시네마,2025-07-07
10,107079,오렌지주유소,2025-06-21
1,14405,CGV,2025-06-07
2,9279,더벤티,2025-06-14
3,28403,CGV,2025-07-07
4,3296,세븐일레븐,2025-08-05
5,28171,이마트,2025-06-29
6,16090,쿰베오,2025-07-24
7,8758,세븐일레븐,2025-07-20
8,1144523,은혜공인중개사무소,2025-07-11
9,22696,런던베이글,2025-06-19
10,6651,세븐일레븐,2025-07-31
1,3611,GS25,2025-07-31
2,4749,(주)에이비카페,2025-06-03
3,13150,롯데시네마,2025-08-17
4,65679,톡스앤필의원,2025-07-01
5,2490,롯데리아,2025-08-21
6,8654,더벤티,2025-08-03
7,3441,더벤티,2025-08-13
8,13205,이마트,2025-06-01
9,16330,CGV,2025-06-24
10,5452,(주)에이비카페,2025-07-17
1,9787,세븐일레븐,2025-08-04
2,18152,런던베이글,2025-06-06
3,18238,CGV,2025-06-03
4,44748,톡스앤필의원,2025-08-24
5,127209,오렌지주유소,2025-07-13
6,28604,이마트,2025-08-22
7,21728,맥도날드,2025-08-01
8,10247,롯데시네마,2025-07-29
9,62476,롯데월드,2025-06-26
10,1363257,은혜공인중개사무소,2025-08-05
1,40156,이마트,2025-06-05
2,10178,쿰베오,2025-06-07
3,8581,(주)에이비카페,2025-07-18
4,147988,톡스앤필의원,2025-07-20
5,32194,코스트코,2025-08-03
6,9526,롯데리아,2025-06-11
7,9035,쿰베오,2025-06-24
8,15580,롯데시네마,2025-07-12
9,17652,CGV,2025-08-31
10,16503,맥도날드,2025-06-06
1,7087,GS25,2025-07-26
2,4099,(주)에이비카페,2025-08-21
3,27800,롯데시네마,2025-08-26
4,6034,이마트,2025-08-17
5,79301,오렌지주유소,2025-06-09
6,120956,세인트존스호텔,2025-08-12
7,3764,세븐일레븐,2025-07-18
8,2325,GS25,2025-08-07
9,19395,롯데시네마,2025-07-02
10,6400,정약국,2025-08-03
1,8642,GS25,2025-07-04
2,7808,더벤티,2025-07-07
3,21205,CGV,2025-06-18
4,17217,정약국,2025-08-31
5,28951,코스트코,2025-07-11
6,3226,강동도서관,2025-08-09
7,10166,(주)에이비카페,2025-08-31
8,15313,CGV,2025-08-05
9,118765,세인트존스호텔,2025-07-01
10,41027,오렌지주유소,2025-08-13
1,35057,이마트,2025-06-12
2,19252,맥도날드,2025-08-01
3,24185,CGV,2025-06-10
4,27243,이마트,2025-07-28
5,50552,코스트코,2025-08-10
6,9921,런던베이글,2025-06-17
7,5557,(주)에이비카페,2025-08-06
8,3197,세븐일레븐,2025-08-30
9,171393,세인트존스호텔,2025-06-11
10,37391,이마트,2025-08-20
1,8155,세븐일레븐,2025-08-22
2,9920,롯데리아,2025-08-24
3,21674,CGV,2025-08-12
4,1218,세븐일레븐,2025-08-22
5,79203,오렌지주유소,2025-08-13
6,5987,카카오프렌즈,2025-08-20
7,28424,런던베이글,2025-08-01
8,29051,이마트,2025-06-10
9,12860,CGV,2025-08-01
10,44098,코스트코,2025-07-11
1,44759,코스트코,2025-07-15
2,4573,메가커피,2025-08-05
3,16549,CGV,2025-06-16
4,81344,톡스앤필의원,2025-06-07
5,149338,세인트존스호텔,2025-07-24
6,4069,GS25,2025-08-13
7,12279,쿰베오,2025-08-03
8,20285,정약국,2025-07-10
9,12900,CGV,2025-08-04
10,14077,롯데시네마,2025-07-16
1,5597,세븐일레븐,2025-08-23
2,7793,더벤티,2025-06-14
3,18182,롯데시네마,2025-07-22
4,110770,톡스앤필의원,2025-08-11
5,37767,이마트,2025-07-20
6,19398,CGV,2025-08-19
7,4211,더벤티,2025-06-13
8,6706,GS25,2025-07-17
9,7558,(주)에이비카페,2025-07-22
10,18732,코스트코,2025-08-31
1,36325,이마트,2025-06-20
2,9796,더벤티,2025-08-18
3,24972,롯데시네마,2025-07-09
4,184392,톡스앤필의원,2025-08-08
5,52334,코스트코,2025-06-03
6,11002,롯데리아,2025-07-24
7,3569,더벤티,2025-07-04
8,22636,런던베이글,2025-06-07
9,13718,CGV,2025-08-19
10,77175,오렌지주유소,2025-08-27
1,12240,세븐일레븐,2025-06-15
2,8537,롯데리아,2025-06-20
3,14154,롯데시네마,2025-08-18
4,31758,정약국,2025-08-30
5,19040,이마트,2025-08-24
6,18831,CGV,2025-06-23
7,19178,런던베이글,2025-07-16
8,17395,CGV,2025-06-25
9,12424,런던베이글,2025-06-29
10,16352,정약국,2025-08-30
1,12494,세븐일레븐,2025-08-01
2,7760,(주)에이비카페,2025-08-13
3,23676,CGV,2025-07-21
4,8977,정약국,2025-07-07
5,47263,오렌지주유소,2025-07-27
6,16558,런던베이글,2025-08-08
7,14244,(주)에이비카페,2025-06-18
8,13594,세븐일레븐,2025-07-02
9,106479,롯데월드,2025-06-30
10,7243,세븐일레븐,2025-07-31
1,11651,세븐일레븐,2025-08-10
2,4416,메가커피,2025-07-31
3,16022,롯데시네마,2025-07-07
4,164171,톡스앤필의원,2025-06-12
5,71427,오렌지주유소,2025-06-05
6,838655,은혜공인중개사무소,2025-06-23
7,3111,메가커피,2025-07-21
8,37835,코스트코,2025-07-08
9,3036,런던베이글,2025-08-17
10,5929,세븐일레븐,2025-08-22
1,10507,GS25,2025-06-18
2,8789,메가커피,2025-06-15
3,24403,롯데시네마,2025-08-31
4,30242,이마트,2025-08-12
5,56839,오렌지주유소,2025-08-21
6,9062,메가커피,2025-06-12
7,4860,(주)에이비카페,2025-06-18
8,4065,GS25,2025-07-20
9,135879,세인트존스호텔,2025-07-09
10,46298,코스트코,2025-08-23
1,16897,이마트,2025-06-16
2,6365,(주)에이비카페,2025-08-04
3,86907,오렌지주유소,2025-08-21
4,13889,정약국,2025-06-29
5,13632,이마트,2025-07-29
6,113359,오렌지주유소,2025-08-29
7,20324,런던베이글,2025-08-25
8,62865,코스트코,2025-08-16
9,5395,(주)에이비카페,2025-08-07
10,6160,(주)에이비카페,2025-06-15
1,11579,세븐일레븐,2025-06-26
2,6848,런던베이글,2025-08-06
3,16008,롯데시네마,2025-08-02
4,9156,세븐일레븐,2025-06-08
5,51821,코스트코,2025-08-12
6,9167,세븐일레븐,2025-07-10
7,13064,쿰베오,2025-06-01
8,8502,CGV,2025-07-15
9,11707,CGV,2025-06-09
10,16634,정약국,2025-07-23
1,3560,세븐일레븐,2025-08-22
2,9738,메가커피,2025-07-19
3,19355,롯데시네마,2025-08-27
4,19342,정약국,2025-07-15
5,38488,이마트,2025-06-17
6,78454,오렌지주유소,2025-06-03
7,10250,메가커피,2025-08-09
8,8147,GS25,2025-07-02
9,11908,롯데시네마,2025-06-15
10,11434,세븐일레븐,2025-06-03
1,1766,세븐일레븐,2025-06-05
2,4307,(주)에이비카페,2025-06-06
3,15927,롯데시네마,2025-06-08
4,21409,이마트,2025-08-13
5,16559,CGV,2025-06-19
6,19616,정약국,2025-07-09
7,15475,(주)에이비카페,2025-06-23
8,22489,롯데시네마,2025-06-07
9,100242,오렌지주유소,2025-07-11
10,9188,(주)에이비카페,2025-07-19
1,9709,세븐일레븐,2025-06-29
2,7143,(주)에이비카페,2025-06-08
3,22144,CGV,2025-06-18
4,85352,톡스앤필의원,2025-08-22
5,9531,세븐일레븐,2025-06-12
6,65149,코스트코,2025-07-05
7,14483,(주)에이비카페,2025-06-10
8,13951,세븐일레븐,2025-08-25
9,20947,CGV,2025-07-13
10,5311,이마트,2025-06-25
1,9717,정약국,2025-08-01
2,12872,메가커피,2025-07-21
3,19585,런던베이글,2025-07-07
4,179999,톡스앤필의원,2025-07-10
5,44518,이마트,2025-07-30
6,39511,이마트,2025-07-11
7,7468,메가커피,2025-06-06
8,16721,롯데시네마,2025-06-03
9,24901,카카오프렌즈,2025-07-24
10,16641,이마트,2025-07-19
1,5024,GS25,2025-08-23
2,6799,메가커피,2025-08-02
3,9879,메가커피,2025-07-16
4,40627,이마트,2025-08-09
5,2990,메가커피,2025-06-10
6,1557976,은혜공인중개사무소,2025-06-01
7,12793,(주)에이비카페,2025-08-30
8,4593,세븐일레븐,2025-07-18
9,142498,롯데월드,2025-08-18
10,26473,정약국,2025-06-01
1,6227,GS25,2025-08-07
2,14026,더벤티,2025-06-03
3,24816,CGV,2025-06-23
4,11422,이마트,2025-07-01
5,35589,이마트,2025-07-16
6,6238,GS25,2025-07-22
7,13119,런던베이글,2025-06-29
8,10915,이마트,2025-08-23
9,5321,(주)에이비카페,2025-07-19
10,24972,코스트코,2025-08-29
1,10458,세븐일레븐,2025-08-22
2,20567,쿰베오,2025-06-13
3,4189,(주)에이비카페,2025-08-28
4,18696,정약국,2025-06-10
5,89007,오렌지주유소,2025-08-12
6,10399,런던베이글,2025-07-11
7,4546,세븐일레븐,2025-08-31
8,23031,코스트코,2025-08-12
9,140284,세인트존스호텔,2025-08-09
10,15817,이마트,2025-08-28
1,10107,GS25,2025-07-15
2,15466,맥도날드,2025-06-10
3,24937,롯데시네마,2025-07-12
4,6099,세븐일레븐,2025-07-28
5,44236,코스트코,2025-07-19
6,17064,롯데시네마,2025-08-19
7,8722,(주)에이비카페,2025-06-11
8,32434,이마트,2025-08-21
9,14610,맥도날드,2025-06-14
10,5916,세븐일레븐,2025-07-05
1,2126,세븐일레븐,2025-07-28
2,19063,런던베이글,2025-06-04
3,8439,세븐일레븐,2025-08-16
4,14185,정약국,2025-07-23
5,27847,코스트코,2025-08-11
6,1038112,은혜공인중개사무소,2025-06-22
7,4942,더벤티,2025-07-09
8,12018,이마트,2025-07-26
9,17709,롯데시네마,2025-06-10
10,23029,이마트,2025-08-03
1,4132,GS25,2025-06-18
2,9779,(주)에이비카페,2025-08-19
3,18348,롯데시네마,2025-07-26
4,31328,정약국,2025-06-18
5,221786,톡스앤필의원,2025-06-26
6,16388,CGV,2025-07-11
7,14317,(주)에이비카페,2025-08-13
8,39306,코스트코,2025-07-21
9,15083,롯데시네마,2025-08-09
10,13848,세븐일레븐,2025-07-30
1,11152,쿰베오,2025-07-08
2,3532,메가커피,2025-07-23
3,13229,CGV,2025-07-01
4,76468,톡스앤필의원,2025-07-19
5,10706,세븐일레븐,2025-07-22
6,82896,코스트코,2025-08-09
7,7445,세븐일레븐,2025-08-08
8,9098,롯데시네마,2025-07-02
9,17011,CGV,2025-08-18
10,12389,세븐일레븐,2025-07-22
1,18820,정약국,2025-07-26
2,5629,맥도날드,2025-08-05
3,14911,CGV,2025-07-21
4,198333,톡스앤필의원,2025-06-20
5,21460,코스트코,2025-07-08
6,6613,카카오프렌즈,2025-06-19
7,9448,(주)에이비카페,2025-06-27
8,19227,롯데시네마,2025-07-27
9,21171,CGV,2025-07-09
10,10698,세븐일레븐,2025-07-14
1,4326,GS25,2025-07-02
2,18217,런던베이글,2025-08-11
3,20658,롯데시네마,2025-07-22
4,83291,톡스앤필의원,2025-07-26
5,71443,코스트코,2025-06-26
6,21093,롯데시네마,2025-08-30
7,42100,코스트코,2025-06-09
8,13367,롯데시네마,2025-06-26
9,17729,롯데시네마,2025-08-02
10,57265,코스트코,2025-07-20
1,8978,GS25,2025-07-16
2,5431,메가커피,2025-08-30
3,11518,CGV,2025-07-11
4,21180,이마트,2025-07-18
5,102182,오렌지주유소,2025-08-16
6,29217,이마트,2025-08-02
7,5966,더벤티,2025-08-02
8,15980,이마트,2025-07-28
9,23336,CGV,2025-08-02
10,13689,세븐일레븐,2025-08-11
1,18520,맥도날드,2025-08-02
2,11221,(주)에이비카페,2025-06-11
3,13959,CGV,2025-07-06
4,91648,톡스앤필의원,2025-07-29
5,12355,(주)에이비카페,2025-06-15
6,9312,(주)에이비카페,2025-07-17
7,4816,런던베이글,2025-07-27
8,18443,롯데시네마,2025-08-23
9,10207,(주)에이비카페,2025-06-05
10,18801,카카오프렌즈,2025-06-12
1,14092,이마트,2025-07-01
2,14580,롯데리아,2025-07-15
3,14741,(주)에이비카페,2025-06-22
4,94719,톡스앤필의원,2025-06-08
5,11606,(주)에이비카페,2025-08-08
6,11528,맥도날드,2025-07-05
7,12453,메가커피,2025-08-26
8,34231,코스트코,2025-07-23
9,13861,런던베이글,2025-06-17
10,5555,(주)에이비카페,2025-08-31
1,5583,세븐일레븐,2025-08-26
2,6525,(주)에이비카페,2025-07-05
3,19903,CGV,2025-08-21
4,7737,정약국,2025-07-06
5,86772,오렌지주유소,2025-08-02
6,35170,톡스앤필의원,2025-06-12
7,16347,쿰베오,2025-08-29
8,2277,GS25,2025-07-21
9,154026,세인트존스호텔,2025-08-03
10,22054,이마트,2025-08-13
1,14878,세븐일레븐,2025-07-14
2,2285,메가커피,2025-08-20
3,18597,CGV,2025-06-21
4,36113,톡스앤필의원,2025-07-25
5,15730,이마트,2025-07-09
6,10030,맥도날드,2025-07-17
7,10756,(주)에이비카페,2025-08-23
8,7869,세븐일레븐,2025-08-29
9,11718,(주)에이비카페,2025-08-30
10,4454,세븐일레븐,2025-06-17
1,10194,GS25,2025-06-02
2,7469,세븐일레븐,2025-07-25
3,19592,CGV,2025-07-20
4,11945,세븐일레븐,2025-07-11
5,33861,코스트코,2025-06-18
6,6354,런던베이글,2025-08-12
7,10083,세븐일레븐,2025-07-15
8,15136,CGV,2025-08-18
9,12618,CGV,2025-06-13
10,3125,세븐일레븐,2025-07-20
1,30681,이마트,2025-06-18
2,9676,CGV,2025-08-16
3,19270,CGV,2025-08-28
4,15820,세븐일레븐,2025-07-09
5,44945,이마트,2025-07-21
6,49333,톡스앤필의원,2025-07-01
7,6000,런던베이글,2025-08-21
8,10029,롯데시네마,2025-07-11
9,15886,맥도날드,2025-08-27
10,10301,세븐일레븐,2025-06-10
1,1696,세븐일레븐,2025-06-28
2,2347,세븐일레븐,2025-07-21
3,27026,CGV,2025-07-25
4,5650,(주)에이비카페,2025-08-08
5,63648,오렌지주유소,2025-06-11
